assunto;localidade;pergunta;opcao_a;opcao_b;opcao_c;opcao_d;resposta_correta
Matemática;TODAS;Quanto é 7 x 8?;54;56;58;64;B
Matemática;TODAS;Qual é a raiz quadrada de 144?;10;11;12;14;C
Matemática;TODAS;Quanto é 15% de 200?;20;25;30;35;C
Matemática;TODAS;Qual o resultado de 9² - 5²?;56;60;64;81;A
Português;TODAS;Qual a classe gramatical da palavra 'rapidamente'?;Substantivo;Advérbio;Adjetivo;Pronome;B
Português;TODAS;Assinale o plural correto de 'cidadão':;Cidadães;Cidadões;Cidadãos;Cidadão's;C
Português;TODAS;Qual figura de linguagem está em 'Chove pedras de gelo'?;Metáfora;Hipérbole;Eufemismo;Ironia;B
Português;TODAS;'Ele chegou, porém não avisou.' A conjunção destacada é:;Aditiva;Adversativa;Conclusiva;Explicativa;B
História;TODAS;Em que ano foi proclamada a Independência do Brasil?;1808;1822;1889;1500;B
História;TODAS;Quem foi o primeiro presidente do Brasil?;Dom Pedro II;Getúlio Vargas;Deodoro da Fonseca;Juscelino Kubitschek;C
História;TODAS;A Revolução Francesa teve início em:;1789;1776;1804;1815;A
História;TODAS;Qual evento marcou o fim da Segunda Guerra Mundial?;Queda do Muro de Berlim;Rendição do Japão;Revolução Russa;Tratado de Versalhes;B
Geografia;TODAS;Qual é o maior país do mundo em extensão territorial?;China;Estados Unidos;Rússia;Canadá;C
Geografia;TODAS;Qual é o rio mais extenso do mundo?;Nilo;Amazonas;Yangtzé;Mississippi;B
Geografia;TODAS;Quantos estados possui a Região Norte do Brasil?;5;6;7;9;C
Geografia;TODAS;Qual é a capital da Austrália?;Sydney;Melbourne;Camberra;Perth;C
Ciências;TODAS;Qual é o principal gás responsável pelo efeito estufa?;Oxigênio;Nitrogênio;Gás Carbônico;Hidrogênio;C
Ciências;TODAS;Quantos ossos tem, aproximadamente, o corpo humano adulto?;156;186;206;226;C
Ciências;TODAS;Qual órgão é responsável por bombear o sangue no corpo?;Pulmão;Fígado;Coração;Rim;C
Ciências;TODAS;Qual é a unidade básica da vida?;Átomo;Célula;Molécula;Tecido;B
Informática;TODAS;O que significa a sigla 'CPU'?;Central Process Unit;Central Processing Unit;Computer Personal Unit;Central Program Unit;B
Informática;TODAS;Qual desses é um sistema operacional?;Excel;Chrome;Linux;Word;C
Informática;TODAS;O que é 'RAM' em um computador?;Memória de armazenamento permanente;Memória volátil de curto prazo;Um tipo de processador;Uma linguagem de programação;B
Informática;TODAS;Qual extensão é usada para arquivos do Excel?;.docx;.pptx;.xlsx;.pdf;C
Atualidades;TODAS;Qual é a moeda oficial da União Europeia?;Dólar;Euro;Libra;Franco;B
Atualidades;TODAS;Em que continente fica o Egito?;Ásia;Europa;África;Oceania;C
Atualidades;TODAS;Qual é o maior oceano do planeta?;Atlântico;Índico;Ártico;Pacífico;D
Atualidades;TODAS;Quantos jogadores compõem um time de futebol em campo?;9;10;11;12;C
IOs_ONS;TODAS;O objetivo do CD-CT.S.2RS.01 é apresentar os Dados Operacionais de Equipamentos da Área 230 kV do Rio Grande do Sul, a serem observados pelos operadores dos Centros de Operação do ONS e pela Operação dos Agentes envolvidos no controle destes valores. Esta afirmativa é verdadeira ou falsa?;Verdadeira;Falsa; ; ;A
IOs_ONS;TODAS;Assinale a alternativa CORRETA:;As unidades geradoras da UHE São José possuem turbinas tipo Kaplan Horizontal;A faixa de tensão de operação da UHE São José é de 13,1kV a 14,5Kv;A faixa de potência do gerador permitida é de 6,0 a 51 MW;O fator de potência das unidades geradoras é 0,85;B
IOs_ONS;TODAS;Assinale a alternativa CORRETA:;As unidades geradoras da UHE Foz do Rio Claro possuem turbinas tipo Kaplan Horizontal.;A faixa de tensão de operação da UHE Foz do Rio Claro é de 6,9kV a 13,8Kv.;A faixa de potência do gerador permitida é de 12,0 a 34,2 MW.;O fator de potência das unidades geradoras é 0,85.;C
IOs_ONS;TODAS;De quem é responsabilidade pelo controle e supervisão do despacho de geração da UHE São José? Assinale a alternativa CORRETA:;COSR-SE;COSR-S;COS – RGE;COG – ALUPAR;B
IOs_ONS;TODAS;Na operação normal as unidades geradoras G1 e G2 13,8 kV, estão conectadas ao barramento de 69 kV, por meio de seus respectivos transformadores elevadores, com os disjuntores de 69 kV fechados e todas as seccionadoras fechadas. Essa afirmação é verdadeira ou falsa?;Verdadeira;Falsa; ; ;A
IOs_ONS;TODAS;É procedimento da operação, após sincronismo de unidades geradoras da usina São José, quando de desligamento automático: Assinale a alternativa CORRETA:;Partir a unidade geradora e manter o disjuntor da mesma desligado.;Sincronizar e elevar a geração até a potência nominal da unidade geradora.;Somente tomar carga na usina se estiverem sincronizadas as duas unidades geradoras.;Após o fechamento do sincronismo, gerar o mínimo necessário para manter a unidade geradora sincronizada e solicitar autorização ao COSR-S para elevar a geração.;D
IOs_ONS;TODAS;Os equipamentos e linhas de transmissão da UHE Engº José Luiz Müller de Godoy Pereira fazem parte da Área 500 / 345 kV Goiás / Brasília. Essa afirmação é verdadeira ou falsa?;Verdadeira;Falsa; ; ;A
IOs_ONS;TODAS;Assinale a alternativa CORRETA com relação a alteração no valor de geração da usina Engº José Luiz Müller de Godoy Pereira, constante no PDO.;O COG da Alupar tem autonomia executar.;Somente poderá ser executado após a autorização do COSR-NCO.;Somente poderá ser executado após a autorização do Agente da Distribuição.;Somente poderá ser executado após a autorização do CNOS.;B
IOs_ONS;TODAS;De acordo com a IO-OI.N.FGO os equipamentos da se / UHE Ferreira Gomes fazem parte de que área do sistema? Assinale a alternativa CORRETA:;Área 500 / 230 kV de Jurupari.;Área 230 kV dos Estados do Norte.;Área 500 / 230 kV Manaus Macapá,;Área 230 kV Laranjal / Macapá.;C
IOs_ONS;TODAS;Os procedimentos de segurança a serem adotados quando da ocorrência de desligamentos imprevistos de linhas de transmissão ou equipamentos que estejam sendo submetidos à intervenção são de responsabilidade: Assinale a afirmativa CORRETA.;COSR-SE;COSR-NCO;COS – PLENA;COG da Alupar;D
IOs_ONS;TODAS;A coordenação da operação hidráulica dos reservatórios na bacia do rio Uruguai, será executada considerando as situações que indicam o grau de severidade da operação, os quais são: Assinale a alternativa CORRETA.;Normal e atenção;Alerta e Emergência;Normal, Atenção, Alerta e Emergência;Normal, Atenção, Alerta e Urgência;C
IOs_ONS;TODAS;As Restrições Operativas Hidráulicas – ROH, podemos afirmar: Assinale a alternativa CORRETA.;Poderão ser alteradas sempre que o Agente de Geração solicitar.;Poderão ser alteradas somente para atender manutenção de unidades geradoras.;Poderão ser alteradas excepcionalmente em condições críticas de secas ou cheias na bacia hidrográfica, ou ainda no caso de contingências no SIN.;Poderão ser alteradas somente com a autorização da Aneel.;C
IOs_ONS;TODAS;Na indisponibilidade dos dois circuitos da LT 230 kV Laranjal/ Macapá (C1 e C2), O COSR-NCO limitará o somatório de geração das UHE Ferreira Gomes e Cachoeira visando qual consequência para o SIN? Assinale a alternativa CORRETA.;Subtensão nos C1 e C2 da LT 230 kV Laranjal / Amapá.;Sobretensão na LT 230 kV Cachoeira Caldeirão / Ferreira Gomes.;Perda de Sincronismo no sistema Amapá em relação ao restante do SIN.;Atuação do ECE na UHE Coaracy Nunes.;C
IOs_ONS;TODAS;De quem é a responsabilidade das ações de comando e execução do controle sobre as tensões dos barramentos e carregamentos dos equipamentos pertencentes a Rede de Operação. Assinale a alternativa CORRETA. ;Centros de Operação dos Agentes de Distribuição.;Centros de Operação dos Agentes de Geração.;Centro Nacional de Operação do Sistema – CNOS.;Centros Regionais do ONS.;B
IOs_ONS;TODAS;A definição do número de tentativas de energização manual de equipamentos ou de linha de transmissão, bem como o intervalo entre elas é de responsabilidade: Assinale a alternativa CORRETA.;Centros de Operação do Agente de Distribuição.;Centros de Operação do Agente de Geração.;Centro Nacional de Operação do Sistema – CNOS.;Centro Regional do ONS.;B
IOs_ONS;TODAS;O Esquema de Controle de Emergência (ECE) é um Sistema Especial de Proteção que objetiva, a partir da detecção de uma condição anormal de operação, realizar uma ação automática de controle com a finalidade de preservar a integridade de equipamentos e linhas de transmissão. Essa afirmação é verdadeira ou falsa?;Verdadeira;Falsa; ; ;A
IOs_ONS;TODAS;Por meio de quais ações é feita a operação normal da Área 230 kV Norte da Região Nordeste?;Coordenação, Supervisão e Monitoramento.;Coordenação, Supervisão e Controle.;Controle, Supervisão e Intervenção.;Supervisão, Ordenação e Monitoramento.;B
IOs_ONS;TODAS;De acordo com a IO-ON.NE.2NO, a quem cabe tomar as medidas corretivas cabíveis em caso de verificação de qualquer tipo de violação de limite operativo?;COG Alupar;COSR-NCO;COSR-NE;COSR-S;C
